IdPunto;Latitud;Longitud;Descripcion;Stop
163;-17.779217;-63.185249;S-163;S
164;-17.780137;-63.18517;N-164;N
165;-17.780391;-63.185141;S-165;S
166;-17.780958;-63.185077;N-166;N
167;-17.781213;-63.185054;N-167;N
168;-17.781941;-63.184988;N-168;N
169;-17.782951;-63.184873;S-169;S
170;-17.785028;-63.184669;N-170;N
171;-17.785141;-63.184655;N-171;N
172;-17.786051;-63.184535;N-172;N
173;-17.786371;-63.184496;S-173;S
174;-17.789109;-63.189831;N-174;N
175;-17.789079;-63.189758;S-175;S
176;-17.788974;-63.1895;N-176;N
177;-17.789146;-63.18934;S-177;S
178;-17.789241;-63.189251;N-178;N
179;-17.788517;-63.185189;S-179;S
180;-17.78691;-63.18547;N-180;N
181;-17.786093;-63.185694;N-181;N
182;-17.785519;-63.185703;N-182;N
183;-17.785115;-63.185709;N-183;N
184;-17.784028;-63.185769;N-184;N
185;-17.783001;-63.185787;N-185;N
186;-17.782709;-63.185801;S-186;S
187;-17.781994;-63.185834;N-187;N
188;-17.781022;-63.18593;S-188;S
189;-17.780258;-63.18602;N-189;N
190;-17.7802;-63.185615;S-190;S
191;-17.780061;-63.184683;S-191;S
192;-17.779963;-63.184061;N-192;N
193;-17.779958;-63.184035;N-193;N
194;-17.779772;-63.182965;N-194;N
195;-17.779699;-63.18248;S-195;S
196;-17.779609;-63.181875;N-196;N
197;-17.778593;-63.18192;N-197;N
198;-17.777496;-63.18198;N-198;N
199;-17.777198;-63.182013;S-199;S
200;-17.776212;-63.182123;N-200;N
201;-17.776064;-63.182064;N-201;N
202;-17.775429;-63.182082;N-202;N
203;-17.774944;-63.1821;N-203;N
204;-17.774807;-63.181352;N-204;N
205;-17.774733;-63.180949;N-205;N
206;-17.774702;-63.180138;N-206;N
207;-17.774694;-63.179929;N-207;N
208;-17.774683;-63.179507;S-208;S
209;-17.774665;-63.178818;N-209;N
210;-17.774701;-63.178039;N-210;N
211;-17.774811;-63.177376;N-211;N
212;-17.774868;-63.177036;N-212;N
213;-17.775133;-63.176063;N-213;N
214;-17.775219;-63.175748;N-214;N
215;-17.775563;-63.174974;N-215;N
216;-17.775721;-63.174671;N-216;N
217;-17.775534;-63.174558;N-217;N
218;-17.775402;-63.174619;N-218;N
219;-17.775363;-63.174678;N-219;N
220;-17.774598;-63.174633;S-220;S
221;-17.772035;-63.18248;N-221;N
222;-17.772297;-63.182462;S-222;S
223;-17.772772;-63.18243;S-223;S
224;-17.773746;-63.182358;N-224;N
225;-17.773835;-63.183078;N-225;N
226;-17.774269;-63.183458;N-226;N
227;-17.774714;-63.183418;N-227;N
228;-17.775254;-63.183776;S-228;S
229;-17.775584;-63.184808;N-229;N
230;-17.775904;-63.185855;S-230;S
231;-17.776044;-63.186155;N-231;N
232;-17.7763;-63.186563;N-232;N
233;-17.776604;-63.187046;N-233;N
234;-17.777079;-63.187569;S-234;S
235;-17.777854;-63.188146;N-235;N
236;-17.778338;-63.18841;N-236;N
237;-17.779408;-63.188779;S-237;S
238;-17.780408;-63.188962;N-238;N
239;-17.780582;-63.188976;N-239;N
240;-17.781231;-63.18902;N-240;N
241;-17.781548;-63.189013;S-241;S
242;-17.782198;-63.188998;N-242;N
243;-17.782655;-63.189002;N-243;N
244;-17.783217;-63.189006;N-244;N
245;-17.783582;-63.189007;S-245;S
246;-17.783995;-63.189009;N-246;N
247;-17.784292;-63.18905;N-247;N
248;-17.784565;-63.189026;N-248;N
249;-17.785154;-63.188999;N-249;N
250;-17.785514;-63.188982;N-250;N
251;-17.785759;-63.188927;S-251;S
252;-17.786444;-63.188774;N-252;N
253;-17.787883;-63.18826;N-253;N
254;-17.78798;-63.188221;S-254;S
255;-17.788511;-63.188009;N-255;N
256;-17.794115;-63.186935;S-256;S
257;-17.794502;-63.18687;N-257;N
258;-17.795315;-63.186741;S-258;S
259;-17.79559;-63.186499;N-259;N
260;-17.79519;-63.186562;S-260;S
261;-17.794474;-63.186675;N-261;N
262;-17.794086;-63.186737;N-262;N
263;-17.793778;-63.186786;N-263;N
264;-17.789264;-63.187475;N-264;N
265;-17.789173;-63.18754;N-265;N
266;-17.788041;-63.187975;N-266;N
267;-17.787318;-63.188239;S-267;S
268;-17.786324;-63.188601;N-268;N
269;-17.785722;-63.188715;N-269;N
270;-17.785513;-63.188754;N-270;N
271;-17.785144;-63.188776;S-271;S
272;-17.784824;-63.188795;N-272;N
273;-17.784366;-63.188702;N-273;N
274;-17.783564;-63.188766;N-274;N
275;-17.783141;-63.1888;N-275;N
276;-17.782657;-63.188795;S-276;S
277;-17.78218;-63.188791;N-277;N
278;-17.781548;-63.18879;N-278;N
279;-17.781214;-63.18879;N-279;N
280;-17.780613;-63.188744;N-280;N
281;-17.78022;-63.188686;N-281;N
282;-17.779434;-63.18857;N-282;N
283;-17.778446;-63.18824;N-283;N
284;-17.777905;-63.18797;N-284;N
285;-17.777647;-63.187768;S-285;S
286;-17.777208;-63.187425;N-286;N
287;-17.77677;-63.186943;N-287;N
288;-17.77647;-63.186447;S-288;S
289;-17.776171;-63.185953;N-289;N
290;-17.776109;-63.185777;N-290;N
291;-17.77568;-63.184553;N-291;N
292;-17.775421;-63.18372;N-292;N
293;-17.775074;-63.182562;N-293;N
294;-17.774991;-63.182281;N-294;N
295;-17.774282;-63.182145;S-295;S
296;-17.77403;-63.182163;N-296;N
297;-17.773725;-63.182184;N-297;N
298;-17.773306;-63.182214;S-298;S
299;-17.772894;-63.182243;N-299;N
300;-17.77257;-63.182259;S-300;S
301;-17.784923;-63.170173;N-301;N
302;-17.784868;-63.17087;S-302;S
303;-17.784837;-63.171817;N-303;N
304;-17.784621;-63.17185;N-304;N
305;-17.78405;-63.171938;N-305;N
306;-17.783701;-63.17198;S-306;S
307;-17.780542;-63.179919;N-307;N
308;-17.780624;-63.180777;N-308;N
309;-17.780697;-63.181794;N-309;N
310;-17.780731;-63.182254;S-310;S
311;-17.780777;-63.182875;N-311;N
312;-17.780812;-63.183358;S-312;S
313;-17.780857;-63.183965;N-313;N
314;-17.780933;-63.184796;N-314;N
315;-17.781122;-63.187298;N-315;N
316;-17.781168;-63.188036;S-316;S
317;-17.778261;-63.188642;S-317;S
318;-17.778013;-63.189391;N-318;N
319;-17.777885;-63.18974;N-319;N
320;-17.775036;-63.188216;S-320;S
321;-17.774821;-63.188101;N-321;N
322;-17.780579;-63.188467;N-322;N
323;-17.780441;-63.187342;N-323;N
324;-17.780404;-63.187078;S-324;S
325;-17.779471;-63.180935;N-325;N
326;-17.77935;-63.180303;N-326;N
327;-17.779139;-63.179157;N-327;N
328;-17.779128;-63.179098;N-328;N
329;-17.781492;-63.178428;N-329;N
330;-17.784651;-63.172062;S-330;S
